time,x,Density,Sulfur
13.5,30,880,1.2
13.5,35,880,1.2
13.5,40,880,1.2
13.5,45,880,1.2
13.5,50,880,1.2
13.5,55,880,1.2
13.5,60,880,1.2
13.5,65,880,1.2
13.5,70,880,1.2
13.5,75,880,1.2
13.5,80,880,1.2
13.5,85,880,1.2
13.5,90,880,1.2
13.5,95,880,1.2
13.5,100,880,1.2
14,0,880,1.2
14,5,880,1.2
14,10,880,1.2
14,15,880,1.2
14,20,880,1.2
14,25,880,1.2
14,30,880,1.2
14,35,880,1.2
14,40,880,1.2
14,45,880,1.2
14,50,880,1.2
14,55,880,1.2
14,60,880,1.2
14,65,880,1.2
14,70,880,1.2
14,75,880,1.2
14,80,880,1.2
14,85,880,1.2
14,90,880,1.2
14,95,880,1.2
14,100,880,1.2
14.5,0,880,1.2
14.5,5,880,1.2
14.5,10,880,1.2
14.5,15,880,1.2
14.5,20,880,1.2
14.5,25,880,1.2
14.5,30,880,1.2
14.5,35,880,1.2
14.5,40,880,1.2
14.5,45,880,1.2
14.5,50,880,1.2
14.5,55,880,1.2
14.5,60,880,1.2
14.5,65,880,1.2
14.5,70,880,1.2
14.5,75,880,1.2
14.5,80,880,1.2
14.5,85,880,1.2
14.5,90,880,1.2
14.5,95,880,1.2
14.5,100,880,1.2
15,0,880,1.2
15,5,880,1.2
15,10,880,1.2
15,15,880,1.2
15,20,880,1.2
15,25,880,1.2
15,30,880,1.2
15,35,880,1.2
15,40,880,1.2
15,45,880,1.2
15,50,880,1.2
15,55,880,1.2
15,60,880,1.2
15,65,880,1.2
15,70,880,1.2
15,75,880,1.2
15,80,880,1.2
15,85,880,1.2
15,90,880,1.2
15,95,880,1.2
15,100,880,1.2
15.5,0,880,1.2
15.5,5,880,1.2
15.5,10,880,1.2
15.5,15,880,1.2
15.5,20,880,1.2
15.5,25,880,1.2
15.5,30,880,1.2
15.5,35,880,1.2
15.5,40,880,1.2
15.5,45,880,1.2
15.5,50,880,1.2
15.5,55,880,1.2
15.5,60,880,1.2
15.5,65,880,1.2
15.5,70,880,1.2
15.5,75,880,1.2
15.5,80,880,1.2
15.5,85,880,1.2
15.5,90,880,1.2
15.5,95,880,1.2
15.5,100,880,1.2
16,0,880,1.2
16,5,880,1.2
16,10,880,1.2
16,15,880,1.2
16,20,880,1.2
16,25,880,1.2
16,30,880,1.2
16,35,880,1.2
16,40,880,1.2
16,45,880,1.2
16,50,880,1.2
16,55,880,1.2
16,60,880,1.2
16,65,880,1.2
16,70,880,1.2
16,75,880,1.2
16,80,880,1.2
16,85,880,1.2
16,90,880,1.2
16,95,880,1.2
16,100,880,1.2
16.5,0,880,1.2
16.5,5,880,1.2
16.5,10,880,1.2
16.5,15,880,1.2
16.5,20,880,1.2
16.5,25,880,1.2
16.5,30,880,1.2
16.5,35,880,1.2
16.5,40,880,1.2
16.5,45,880,1.2
16.5,50,880,1.2
16.5,55,880,1.2
16.5,60,880,1.2
16.5,65,880,1.2
16.5,70,880,1.2
16.5,75,880,1.2
16.5,80,880,1.2
16.5,85,880,1.2
16.5,90,880,1.2
16.5,95,880,1.2
16.5,100,880,1.2
17,0,880,1.2
17,5,880,1.2
17,10,880,1.2
17,15,880,1.2
17,20,880,1.2
17,25,880,1.2
17,30,880,1.2
17,35,880,1.2
17,40,880,1.2
17,45,880,1.2
17,50,880,1.2
17,55,880,1.2
17,60,880,1.2
17,65,880,1.2
17,70,880,1.2
17,75,880,1.2
17,80,880,1.2
17,85,880,1.2
17,90,880,1.2
17,95,880,1.2
17,100,880,1.2
17.5,0,880,1.2
17.5,5,880,1.2
17.5,10,880,1.2
17.5,15,880,1.2
17.5,20,880,1.2
17.5,25,880,1.2
17.5,30,880,1.2
17.5,35,880,1.2
17.5,40,880,1.2
17.5,45,880,1.2
